Report of all payments made by GLA for value equal to or greater than £ 250.00 Excl. VAT,,,,,,,,,
Reporting Period : ,7,,,,,,,,
Start Date:,"15th September, 2013",,,,,,,,
End Date:,"12th October, 2013",,,,,,,,
Financial Year :,2012 / 13,,,,,,,,
,,,,,,,,,
Vendor ID,Vendor Name,Cost Element,Expenditure Account Code Description,Document No,Amount,Clearing Date,,,
10014169,LONDON BOROUGH OF HILLINGDON,544075,Grants to External Organisations,5107963892,"94,653.76",09-Oct-13,,,
10016524,TRANSPORT FOR LONDON,542320,Shared Services Fees,5107960466,"94,596.66",09-Oct-13,,,
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107975653,"93,991.00",07-Oct-13,,,
10022773,ARK UK PROGRAMMES,544075,Grants to External Organisations,5107975753,"92,000.00",09-Oct-13,,,
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107971648,"84,401.57",01-Oct-13,,,
10021284,LONDON BOROUGH OF BARNET,544075,Grants to External Organisations,5107971374,"81,082.17",09-Oct-13,,,
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107960142,"70,703.18",24-Sep-13,,,
18000020,THAMES VALLEY HOUSING ASSOCIATION L,544076,HSG Grants to Registered Providers,1900018646,"68,632.00",03-Oct-13,,,
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5107969289,"67,852.00",26-Sep-13,,,
10007901,OVE ARUP & PARTNERS LTD,542000,Management & Support Consultancy,5107955297,"66,062.00",20-Sep-13,,,
18000005,CENTREPOINT,544076,HSG Grants to Registered Providers,1900018560,"63,214.00",18-Sep-13,,,
10022048,LONDON YOUTH SUPPORT TRUST,544075,Grants to External Organisations,5107976323,"61,922.31",07-Oct-13,,,
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107971648,"58,936.00",01-Oct-13,,,
10001899,ERNST & YOUNG LLP,542350,Non KPMG Audit Fees,5107949601,"55,280.00",25-Sep-13,,,
10017108,THAMES FESTIVAL,544075,Grants to External Organisations,5107946831,"54,000.00",17-Sep-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,530010,Equipment Repairs & Maintenance,5107949613,"49,939.05",18-Sep-13,,,
10021258,SEETEC,544075,Grants to External Organisations,5107935726,"45,396.82",26-Sep-13,,,
10021648,SHP,544075,Grants to External Organisations,5107944857,"41,472.00",17-Sep-13,,,
10017495,GREENWICH & DOCKLANDS FESTIVALS,542330,Event Management Fee,5107955041,"40,000.00",23-Sep-13,,,
13002176,GBM SERVICES LTD,510700,Office Cleaning,5107954215,"39,382.94",01-Oct-13,,,
10014156,LONDON BOROUGH OF REDBRIDGE,544075,Grants to External Organisations,5107963525,"35,941.85",09-Oct-13,,,
10023542,THE PRINCE'S TEACHING INSTITUTE,544075,Grants to External Organisations,5107979525,"33,000.00",10-Oct-13,,,
10000122,RICOH UK LTD,536300,Computer Hardware,5107981469,"32,250.89",11-Oct-13,,,
18000020,THAMES VALLEY HOUSING ASSOCIATION L,544076,HSG Grants to Registered Providers,1900018642,"31,909.00",02-Oct-13,,,
14000685,CUK SECURITY SERVICES,510025,Security Services (Guards),5107979330,"31,379.87",10-Oct-13,,,
18000010,NOTTING HILL HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018676,"31,304.00",11-Oct-13,,,
10006055,L B HAMMERSMITH & FULHAM,542000,Management & Support Consultancy,5107975751,"30,000.00",04-Oct-13,,,
10021284,LONDON BOROUGH OF BARNET,544075,Grants to External Organisations,5107971374,"29,651.05",09-Oct-13,,,
10001016,URS INFRASTRUCTURE & ENVIRONMENT,542000,Management & Support Consultancy,5107947955,"27,230.00",18-Sep-13,,,
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107975652,"26,222.30",07-Oct-13,,,
10007641,HERBERT SMITH LLP,510010,Property Management Fees,5107965221,"25,222.39",23-Sep-13,,,
10004625,LONDON METROPOLITAN UNIVERSITY,544075,Grants to External Organisations,5107949629,"25,000.00",18-Sep-13,,,
10016694,BOW TIE,530010,Equipment Repairs & Maintenance,5107975336,"24,358.50",08-Oct-13,,,
13000063,EDF ENERGY,510100,Electricity,1900018530,"23,048.24",19-Sep-13,,,
10007848,SOUTH LONDON AND MAUDSLEY NHS TRUST,544075,Grants to External Organisations,5107962555,"22,500.00",17-Sep-13,,,
10017322,SERVOCA SECURE SOLUTIONS,510020,Security Equipment,5107964993,"22,465.79",23-Sep-13,,,
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107949716,"22,448.00",18-Sep-13,,,
10021284,LONDON BOROUGH OF BARNET,544075,Grants to External Organisations,5107971375,"21,089.39",09-Oct-13,,,
15500120,LONDON BOROUGH OF BARKING & DAGENHA,544075,Grants to External Organisations,5107963653,"21,020.75",09-Oct-13,,,
10017322,SERVOCA SECURE SOLUTIONS,510020,Security Equipment,5107964999,"20,475.03",23-Sep-13,,,
10006055,L B HAMMERSMITH & FULHAM,542000,Management & Support Consultancy,5107836174,"20,102.24",19-Sep-13,,,
10014774,LONDON YOUTH,544075,Grants to External Organisations,5107975388,"20,000.00",04-Oct-13,,,
18000124,AMICUSHORIZON LIMITED,544076,HSG Grants to Registered Providers,1900018547,"20,000.00",16-Sep-13,,,
10006219,SOUTH BANK UNIVERSITY,544075,Grants to External Organisations,5107850376,"19,872.00",17-Sep-13,,,
10003065,LONDON FIRE & EMERGENCY PLANNING,542321,Payroll Services Fees,5107939348,"18,600.00",17-Sep-13,,,
10019494,BRAND FOUNDRY DESIGN,540110,Marketing Exhibitions & Events,5107977047,"18,596.50",11-Oct-13,,,
15500355,LONDON BOROUGH OF LAMBETH,544075,Grants to External Organisations,5107975655,"18,405.38",07-Oct-13,,,
10023368,SHUBBAK,544075,Grants to External Organisations,5107964497,"18,000.00",01-Oct-13,,,
10023312,ARCHITECTURE 00 LTD,542002,Consultancy-Project Management,5107939066,"17,888.36",23-Sep-13,,,
10022647,SHINE TRUST,544075,Grants to External Organisations,5107964485,"17,869.00",30-Sep-13,,,
10022213,TROWERS & HAMLINS LLP,542000,Management & Support Consultancy,5107974705,"17,543.50",03-Oct-13,,,
10020909,THE RUGBY FOOTBALL LEAGUE LTD,544075,Grants to External Organisations,5107962536,"17,500.00",26-Sep-13,,,
10022213,TROWERS & HAMLINS LLP,542000,Management & Support Consultancy,5107974732,"17,014.32",03-Oct-13,,,
18000008,NEWLON HOUSING TRUST,544076,HSG Grants to Registered Providers,1900018583,"16,000.00",26-Sep-13,,,
18000033,POPLAR HARCA LTD,544076,HSG Grants to Registered Providers,1900018603,"16,000.00",27-Sep-13,,,
18000124,AMICUSHORIZON LIMITED,544076,HSG Grants to Registered Providers,1900018604,"16,000.00",27-Sep-13,,,
10020985,DESIGN FOR HOMES,542355,Other Professional Fees,5107958922,"15,810.00",25-Sep-13,,,
10022213,TROWERS & HAMLINS LLP,542000,Management & Support Consultancy,5107974724,"15,395.74",03-Oct-13,,,
10000221,AECOM LIMITED,542000,Management & Support Consultancy,5107963255,"15,029.00",09-Oct-13,,,
10016707,BURGES SALMON LLP,542300,Legal Fees,5107976794,"14,418.00",08-Oct-13,,,
15500125,CROYDON COUNCIL,544075,Grants to External Organisations,5107952972,"13,570.97",18-Sep-13,,,
18000029,ESTUARY HOUSING ASSOCIATION LIMITED,544076,HSG Grants to Registered Providers,1900018647,"13,500.00",03-Oct-13,,,
10020702,ROCKET SCIENCE UK LTD,542002,Consultancy-Project Management,5107958906,"13,370.65",27-Sep-13,,,
10016640,ALL CLEAN GROUP,510000,Building Maintenance & Repairs,5107952316,"13,252.50",25-Sep-13,,,
10008226,EDENRED (UK GROUP) LTD,504702,Childcare Vouchers,5107964712,"13,249.95",23-Sep-13,,,
10022074,G4S SECURE SOLUTIONS (UK) LTD,510025,Security Services (Guards),5107955171,"12,803.35",26-Sep-13,,,
10021772,SQW CONSULTING,542050,Research & Study Fees,5107963584,"12,484.00",19-Sep-13,,,
10017244,OCLC (UK) LTD,533100,Publications & Periodicals,5107936735,"12,093.49",08-Oct-13,,,
10016872,G4S ASSESSMENT SERVICES (UK) LTD,542000,Management & Support Consultancy,5107944728,"12,000.00",16-Sep-13,,,
10000493,UNIVERSITY OF EAST LONDON,544075,Grants to External Organisations,5107964150,"11,710.00",01-Oct-13,,,
10021284,LONDON BOROUGH OF BARNET,544075,Grants to External Organisations,5107971375,"11,699.01",09-Oct-13,,,
10014169,LONDON BOROUGH OF HILLINGDON,544075,Grants to External Organisations,5107963892,"11,417.70",09-Oct-13,,,
10007848,SOUTH LONDON AND MAUDSLEY NHS TRUST,544075,Grants to External Organisations,5107962554,"11,250.00",17-Sep-13,,,
10021258,SEETEC,544075,Grants to External Organisations,5107935726,"10,285.46",26-Sep-13,,,
10018022,W A FAIRHURST & PARTNERS,510052,Grounds Maintenance,5107952384,"9,995.15",25-Sep-13,,,
10000221,AECOM LIMITED,542000,Management & Support Consultancy,5107963448,"9,980.83",02-Oct-13,,,
10014169,LONDON BOROUGH OF HILLINGDON,544075,Grants to External Organisations,5107963802,"9,906.16",09-Oct-13,,,
10017690,MEDIAEDGE:CIA UK LTD,540000,Advertising,5107919270,"9,841.96",16-Sep-13,,,
10022814,LEONARD CHESHIRE DISABILITY,544075,Grants to External Organisations,5107953104,"9,423.33",01-Oct-13,,,
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107947143,"8,820.00",18-Sep-13,,,
10023080,SIRIUS,542100,IT Consultancy,5107970759,"8,750.00",27-Sep-13,,,
10014124,CB RICHARD ELLIS LTD,542000,Management & Support Consultancy,5107960625,"8,725.00",17-Sep-13,,,
10018022,W A FAIRHURST & PARTNERS,510052,Grounds Maintenance,5107952335,"7,949.82",25-Sep-13,,,
10000221,AECOM LIMITED,542000,Management & Support Consultancy,5107969976,"7,427.51",03-Oct-13,,,
10017690,MEDIAEDGE:CIA UK LTD,540000,Advertising,5107933539,"7,382.48",19-Sep-13,,,
10002085,DRIVERS JONAS DELOITTE,587016,Disposal Fees - Property,5107947192,"7,374.58",18-Sep-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107949616,"7,321.84",25-Sep-13,,,
13002540,VITAL ENERGI UTILITES LTD,550010,Contracted Services Buildings,5107977078,"7,217.50",08-Oct-13,,,
10021767,KATE F JONES LTD,542002,Consultancy-Project Management,5107960147,"7,200.00",18-Sep-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107949624,"7,035.19",25-Sep-13,,,
10011083,BUCKNALL AUSTIN,542060,Planning & Development Consultancy,5107958747,"7,000.00",25-Sep-13,,,
10020847,PROJECT DIRT,542000,Management & Support Consultancy,5107965038,"7,000.00",23-Sep-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107935677,"6,935.91",30-Sep-13,,,
10006055,L B HAMMERSMITH & FULHAM,542000,Management & Support Consultancy,5107975752,"6,830.55",04-Oct-13,,,
15500130,LONDON BOROUGH OF LEWISHAM,544075,Grants to External Organisations,5107973823,"6,820.00",01-Oct-13,,,
10021760,ASHFORDS LLP,542300,Legal Fees,5107953356,"6,441.00",04-Oct-13,,,
10017245,OCS CATERING,531010,Caterers Service Charges,5107965764,"6,005.08",25-Sep-13,,,
10017736,WYG MANAGEMENT SERVICES,542002,Consultancy-Project Management,5107955367,"6,000.00",09-Oct-13,,,
10000785,HUNTRESS SEARCH LTD,502000,Agency Staff,5107965898,"5,951.25",24-Sep-13,,,
13002265,ATKINS LIMITED,542000,Management & Support Consultancy,5107950391,"5,808.90",24-Sep-13,,,
14000615,CAPITA SYMONDS LTD,542000,Management & Support Consultancy,5107957768,"5,447.96",25-Sep-13,,,
10002789,GVA GRIMLEY LTD,542002,Consultancy-Project Management,5107964180,"5,405.04",10-Oct-13,,,
10018022,W A FAIRHURST & PARTNERS,510000,Building Maintenance & Repairs,5107952279,"5,388.73",25-Sep-13,,,
10017458,TRANSPORT TRADING LTD,533000,Printing,1900018562,"5,360.00",19-Sep-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107962629,"5,310.46",25-Sep-13,,,
10004788,TRADE WINDS,533000,Printing,5107965690,"5,306.00",27-Sep-13,,,
10020702,ROCKET SCIENCE UK LTD,542002,Consultancy-Project Management,5107964703,"5,119.77",09-Oct-13,,,
10020702,ROCKET SCIENCE UK LTD,542002,Consultancy-Project Management,5107964704,"5,119.77",09-Oct-13,,,
10020702,ROCKET SCIENCE UK LTD,542002,Consultancy-Project Management,5107975395,"5,119.77",08-Oct-13,,,
10018022,W A FAIRHURST & PARTNERS,530010,Equipment Repairs & Maintenance,5107947930,"5,055.11",11-Oct-13,,,
10020663,BOP CONSULTING,542002,Consultancy-Project Management,5107958690,"5,000.00",18-Sep-13,,,
10022529,SPICERHAART ESTATE AGENTS LIMITED,510014,Estate agents fees,5107964156,"4,875.00",09-Oct-13,,,
10022529,SPICERHAART ESTATE AGENTS LIMITED,510014,Estate agents fees,5107964169,"4,875.00",09-Oct-13,,,
10018146,EC HARRIS LLP,510700,Office Cleaning,5107949126,"4,801.00",24-Sep-13,,,
10019560,USER37 LTD,540600,Marketing & Economic Research,5107953512,"4,800.00",16-Sep-13,,,
10022984,VBA PARTNERS LTD,504200,Staff Training,5107959292,"4,658.00",17-Sep-13,,,
10022440,NEXTHR,504200,Staff Training,5107959285,"4,527.90",20-Sep-13,,,
10019560,USER37 LTD,540600,Marketing & Economic Research,5107953510,"4,500.00",16-Sep-13,,,
10018793,FOOTBALL FOUNDATION,544075,Grants to External Organisations,5107969643,"4,286.00",26-Sep-13,,,
10013803,BUREAU VERITAS UK LTD,542000,Management & Support Consultancy,5107941906,"4,250.00",17-Sep-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107962557,"4,232.06",25-Sep-13,,,
10002085,DRIVERS JONAS DELOITTE,542000,Management & Support Consultancy,5107947192,"4,190.14",18-Sep-13,,,
10005471,GLENNY,542000,Management & Support Consultancy,5107962799,"4,168.53",18-Sep-13,,,
13000063,EDF ENERGY,510100,Electricity,1900018529,"4,160.63",19-Sep-13,,,
10000772,DENTONS UKMEA LLP,542300,Legal Fees,5107954401,"4,130.05",25-Sep-13,,,
10018022,W A FAIRHURST & PARTNERS,510000,Building Maintenance & Repairs,5107971554,"4,112.52",11-Oct-13,,,
10018022,W A FAIRHURST & PARTNERS,510000,Building Maintenance & Repairs,5107947445,"4,070.74",11-Oct-13,,,
10018022,W A FAIRHURST & PARTNERS,510000,Building Maintenance & Repairs,5107971562,"4,070.74",11-Oct-13,,,
10002789,GVA GRIMLEY LTD,542002,Consultancy-Project Management,5107970106,"4,015.00",09-Oct-13,,,
10015256,OLYMPIC DELIVERY AUTHORITY,542050,Research & Study Fees,5107980570,"4,000.00",10-Oct-13,,,
10016938,ICM RESEARCH LIMITED,540600,Marketing & Economic Research,5107963106,"4,000.00",07-Oct-13,,,
10016938,ICM RESEARCH LIMITED,540600,Marketing & Economic Research,5107963108,"4,000.00",07-Oct-13,,,
10020677,NETWORK RAIL LIMITED,510051,Land/Ground Rents,5107968567,"3,945.50",26-Sep-13,,,
10010242,ROFFEY PARK INSTITUTE LTD,504200,Staff Training,5107977129,"3,900.00",09-Oct-13,,,
10014084,GERALD EVE,542000,Management & Support Consultancy,5107976765,"3,863.76",08-Oct-13,,,
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107971648,"3,798.07",01-Oct-13,,,
10021088,OCSL,542100,IT Consultancy,5107953921,"3,789.48",01-Oct-13,,,
10017470,COMPUTACENTER,536300,Computer Hardware,5107946998,"3,779.85",17-Sep-13,,,
12000810,ALLEN LANE FINANCIAL RECRUITMENT,502000,Agency Staff,5107968623,"3,750.10",27-Sep-13,,,
10015270,MUF ARCHITECTURE / ART LLP,542002,Consultancy-Project Management,5107970207,"3,750.00",08-Oct-13,,,
10018022,W A FAIRHURST & PARTNERS,510001,External Building Maintenance,5107952282,"3,726.84",25-Sep-13,,,
10017158,VAN VYNCK ENVIRONMENTAL SERVICES,510000,Building Maintenance & Repairs,5107959467,"3,720.00",16-Sep-13,,,
10021767,KATE F JONES LTD,542002,Consultancy-Project Management,5107963446,"3,600.00",24-Sep-13,,,
10005471,GLENNY,542000,Management & Support Consultancy,5107962797,"3,556.46",18-Sep-13,,,
10017088,STERIA,502000,Agency Staff,5107974447,"3,519.23",09-Oct-13,,,
10019204,TIMEBANK,544075,Grants to External Organisations,5107960133,"3,500.00",18-Sep-13,,,
10020365,THE CONSERVATION VOLUNTEERS,544075,Grants to External Organisations,5107955979,"3,500.00",26-Sep-13,,,
10021116,ENVIRONMENTAL VISION,544075,Grants to External Organisations,5107964151,"3,500.00",24-Sep-13,,,
10023632,ACTION TUTORING,544075,Grants to External Organisations,5107979085,"3,500.00",09-Oct-13,,,
10005471,GLENNY,542000,Management & Support Consultancy,5107962797,"3,486.04",18-Sep-13,,,
10017736,WYG MANAGEMENT SERVICES,510630,Health & Safety Pest Control,5107955873,"3,464.67",01-Oct-13,,,
10006783,LONDON BOROUGH OF CROYDON,544075,Grants to External Organisations,5107955092,"3,373.60",04-Oct-13,,,
10022961,FAIRPLACE,504200,Staff Training,5107941393,"3,350.00",24-Sep-13,,,
10016904,GREENWICH LEISURE LTD,510010,Property Management Fees,5107944917,"3,340.00",18-Sep-13,,,
13000121,THAMES WATER UTILITIES LIMITED,510300,Water,1900018535,"3,286.64",30-Sep-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107949611,"3,257.14",25-Sep-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107960441,"3,187.52",18-Sep-13,,,
10016692,ERICA BOLTON & JANE QUINN LTD,540700,Public Affairs & Media Relations,5107953481,"3,000.00",10-Oct-13,,,
10022993,JENNIFER CROOK,542050,Research & Study Fees,5107981299,"3,000.00",11-Oct-13,,,
10017245,OCS CATERING,531010,Caterers Service Charges,5107940632,"2,883.95",25-Sep-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107962628,"2,838.77",25-Sep-13,,,
10017322,SERVOCA SECURE SOLUTIONS,502000,Agency Staff,5107964994,"2,771.06",24-Sep-13,,,
10022324,CLIMATE ENERGY SERVICES LTD,550010,Contracted Services Buildings,5107971648,"2,652.12",01-Oct-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107949627,"2,571.43",25-Sep-13,,,
10017232,NORLAND MANAGED SERVICES LIMITED,510000,Building Maintenance & Repairs,5107962627,"2,515.52",25-Sep-13,,,
10016694,BOW TIE,540100,Photography & Video,5107975603,"2,500.00",08-Oct-13,,,
12002322,FUTERRA SUSTAINABILITY COMMUNICATIO,544075,Grants to External Organisations,5107954395,"2,500.00",09-Oct-13,,,
15050001,BALLYMORE PROPERTIES LTD,544070,Miscellaneous Finance Expenses,1900018539,"2,500.00",17-Sep-13,,,
14000615,CAPITA SYMONDS LTD,542000,Management & Support Consultancy,5107957788,"2,444.40",25-Sep-13,,,
10003560,EVERSHEDS,542300,Legal Fees,5107953120,"2,443.00",18-Sep-13,,,
10005471,GLENNY,542000,Management & Support Consultancy,5107962797,"2,429.66",18-Sep-13,,,
10015083,PROMO2U,540510,Publications & Publicity Material,5107958957,"2,390.00",20-Sep-13,,,
10017322,SERVOCA SECURE SOLUTIONS,502000,Agency Staff,5107964996,"2,387.16",24-Sep-13,,,
15050001,CONNECTION CONSULTING,544075,Grants to External Organisations,1900018569,"2,380.00",07-Oct-13,,,
10020502,E-MANAGE LIMITED,536510,Software Maintenance,5107959497,"2,302.03",23-Sep-13,,,
10004788,TRADE WINDS,540510,Publications & Publicity Material,5107965692,"2,275.00",24-Sep-13,,,
10012289,JAMES O JENKINS,540100,Photography & Video,5107955844,"2,255.00",18-Sep-13,,,
10004788,TRADE WINDS,540510,Publications & Publicity Material,5107947692,"2,252.00",16-Sep-13,,,
10013803,BUREAU VERITAS UK LTD,542000,Management & Support Consultancy,5107926080,"2,240.00",17-Sep-13,,,
10013803,BUREAU VERITAS UK LTD,542000,Management & Support Consultancy,5107955410,"2,240.00",25-Sep-13,,,
10006084,HAYS ACCOUNTANCY PERSONNEL,502000,Agency Staff,5107856812,"2,232.65",02-Oct-13,,,
10006084,HAYS ACCOUNTANCY PERSONNEL,502000,Agency Staff,5107859203,"2,232.65",02-Oct-13,,,
10017187,MARTINSPEED,540110,Marketing Exhibitions & Events,5107971365,"2,216.00",11-Oct-13,,,
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5107965154,"2,211.56",02-Oct-13,,,
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5107970532,"2,211.56",04-Oct-13,,,
10001984,TURNER & TOWNSEND PROJECT MAGAG,542000,Management & Support Consultancy,5107949595,"2,203.86",25-Sep-13,,,
10005471,GLENNY,542000,Management & Support Consultancy,5107962797,"2,200.78",18-Sep-13,,,
10007464,CROWN WORLDWIDE LTD,533040,Document Archive & Storage,5107955281,"2,138.40",25-Sep-13,,,
15050001,HM REVENUE & CUSTOMS,504710,PAYE on Staff Benefits,1900018558,"2,125.89",18-Sep-13,,,
10001984,TURNER & TOWNSEND PROJECT MAGAG,542002,Consultancy-Project Management,5107960445,"2,125.72",02-Oct-13,,,
10005471,GLENNY,542000,Management & Support Consultancy,5107962799,"2,098.46",18-Sep-13,,,
10005471,GLENNY,542000,Management & Support Consultancy,5107962797,"2,095.14",18-Sep-13,,,
10017322,SERVOCA SECURE SOLUTIONS,510025,Security Services (Guards),5107965000,"2,090.00",23-Sep-13,,,
10016933,HOWE UK LIMITED,530000,Furniture & Equipment,5107969551,"2,086.00",26-Sep-13,,,
10002540,PERFORMING RIGHTS SOCIETY LTD,533010,Stationery,5107955394,"2,080.83",01-Oct-13,,,
10017088,STERIA,502000,Agency Staff,5107959922,"2,040.00",18-Sep-13,,,
10017088,STERIA,502000,Agency Staff,5107959923,"2,040.00",24-Sep-13,,,
10017088,STERIA,502000,Agency Staff,5107973939,"2,040.00",09-Oct-13,,,
10017088,STERIA,502000,Agency Staff,5107973940,"2,040.00",09-Oct-13,,,
10017088,STERIA,502000,Agency Staff,5107974132,"2,040.00",09-Oct-13,,,
10017088,STERIA,502000,Agency Staff,5107974138,"2,040.00",09-Oct-13,,,
10017088,STERIA,502000,Agency Staff,5107974142,"2,040.00",09-Oct-13,,,
10017088,STERIA,502000,Agency Staff,5107974157,"2,040.00",09-Oct-13,,,
10023484,CENSUSWIDE LIMITED,542050,Research & Study Fees,5107969579,"2,010.00",01-Oct-13,,,
10018498,FRESH NETWORKS GLOBAL LTD,542000,Management & Support Consultancy,5107976678,"2,000.00",09-Oct-13,,,
14000521,HUNTRESS SEARCH LTD,502000,Agency Staff,5107971041,"1,983.75",30-Sep-13,,,
10017245,OCS CATERING,531010,Caterers Service Charges,5107959800,"1,958.50",19-Sep-13,,,
