Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Other ICT Costs,People & Strategy - Communications Directorate,BANG COMMUNICATIONS LTD,42720,8820.00,Corporate Presentation-Other ICT Costs,RG25 2JL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Training And Development Expenditure,People & Strategy - Human Resources,CENTRAL HALL WESTMINSTER LTD,42813,-8212.00,P&S Devolved Admin-Training And Development Expenditure,SW1H 9NH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Training And Development Expenditure,People & Strategy - Human Resources,CENTRAL HALL WESTMINSTER LTD,42813,16423.90,P&S Devolved Admin-Training And Development Expenditure,SW1H 9NH,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,43434,-4196.50,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,43434,9232.30,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,44120,231.92,LSC Properties-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,44120,926.31,LSC Properties-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Gas,Finance & Commercial Group - Estates,CORONA ENERGY RETAIL 4 LTD,44120,1035.79,LSC Properties-Gas,WD17 1JW,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,44562,4781.70,Labour Market Emerging Priorities-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,44812,10.46,LSC Properties-Electricity,PL3 5XQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,44812,3447.46,LSC Properties-Electricity,PL3 5XQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Electricity,Finance & Commercial Group - Estates,EDF ENERGY plc,44815,352.08,LSC Properties-Electricity,PL3 5XQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,METHODS CONSULTING LTD,45005,8344.62,F&C Devolved Admin-Hire of Agency Staff,WC2H 8AD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",25/07/2014,Technical Advice / Services & Support,Enterprise & Skills Group - Better Regulation Delivery Office,BYG SYSTEMS LTD,45093,2400.00,BRDO: Innovating for Growth-Technical Advice / Services & Support,NG7 2RQ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,45454,40054.51,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),45727,3.94,Science and Innovation Network (GPF and Conference)-Current Grants To Private Sector - NPISH,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/07/2014,Learning and Dev - CS Skills,Finance & Commercial Group - Information and Technology Directorate,CAPITA BUSINESS SERVICES LTD,45743,21104.66,F&C Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/07/2014,Training And Development Expenditure,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA BUSINESS SERVICES LTD,45743,180168.24,F&C Devolved Admin-Training And Development Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,BROOK STREET (UK) LTD,45862,499.99,F&C Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/07/2014,Hire of Agency Staff,Shareholder Executive - ED SME Finance Policy,CAPITA BUSINESS SERVICES LTD,45897,5642.57,Central Functions-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Stationery,Finance & Commercial Group - Estates,BANNER BUSINESS SERVICES LTD,46208,117.30,F&C Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Travel Booking,Knowledge & Innovation Group - International Knowledge and Innovation,FOREIGN AND COMMONWEALTH OFFICE (FCO),46259,1372.25,International -Emerging Powers / Joint Commissions-Travel Booking,MK10 1PX,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",23/07/2014,Other IT Consultancy,Shareholder Executive - Business Portfolio,PARITY RESOURCES LTD,46263,26250.00,ShEx Devolved Admin-Other IT Consultancy,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,46292,85.24,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,46292,415.12,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,People & Strategy - Communications Directorate,BROOK STREET (UK) LTD,46295,286.60,P&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/07/2014,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,46400,30030.00,F&C Devolved Admin-Consultancy Expenditure,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,46402,4218.00,F&C Devolved Admin-Central Telecommunications Services,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,46405,1658.92,F&C Devolved Admin-Central Telecommunications Services,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/07/2014,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,46405,6631.72,F&C Devolved Admin-Consultancy Expenditure,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/07/2014,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,46405,18864.02,F&C Devolved Admin-Consultancy Expenditure,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,PARITY RESOURCES LTD,46406,2442.00,F&C Devolved Admin-Central Telecommunications Services,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,Business & Local Growth - Digital Economy Unit,CAPITA RESOURCING LTD,46467,1822.80,ShEx Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,Hire of Agency Staff,Finance & Commercial Group - Internal Audit,ADECCO UK LTD,46583,863.09,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2014,Other IT Consultancy,Shareholder Executive - Business Portfolio,PARITY RESOURCES LTD,46607,16100.00,ShEx Devolved Admin-Other IT Consultancy,EC2A 3DR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,46609,3597.00,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",02/07/2014,Advertising,Shareholder Executive - British Business Bank,REDHOUSE LANE COMMUNICATIONS LTD T/A REDHOUSELANE,46671,3480.00,Central Functions-Advertising,SE1 3UD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,Learning and Dev - CS Skills,Shareholder Executive - British Business Bank,CAPITA BUSINESS SERVICES LTD,46809,206.00,Central Functions-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",18/07/2014,Learning and Dev - CS Skills,Business & Local Growth - Regional Growth,CAPITA BUSINESS SERVICES LTD,46831,206.00,BLG Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Learning and Dev - CS Skills,Government Office for Science -  Government Office for Science,CAPITA BUSINESS SERVICES LTD,46887,2817.00,Other Devolved Admin-Learning and Dev - CS Skills,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Printing,Finance & Commercial Group - Information and Technology Directorate,XMA LTD,46978,79820.07,F&C Devolved Admin-Printing,NG11 7EP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",47008,32.40,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Mileage Allowance UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",47009,91.76,BLG Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,UKSBS - Service Costs,Finance & Commercial Group - Modernisation Fund and Shared Services,UK SHARED BUSINESS SERVICES LTD,47102,66342.50,E&M Devolved Admin-UKSBS - Service Costs,SN2 1FF,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Hire of Agency Staff,People & Strategy - Communications Directorate,BROOK STREET (UK) LTD,47182,600.43,P&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Maintenance,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,47283,1067798.00,F&C Devolved Admin-Maintenance,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Maintenance,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,47284,24619.30,F&C Devolved Admin-Maintenance,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Maintenance,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,47287,14950.21,F&C Devolved Admin-Maintenance,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Maintenance,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,47288,28209.01,F&C Devolved Admin-Maintenance,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Maintenance,Finance & Commercial Group - Estates,EC HARRIS SOLUTIONS LTD,47289,4278.95,F&C Devolved Admin-Maintenance,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",47363,2.00,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Travel,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",47363,8.90,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Taxi Services UK,Business & Local Growth - BIS Local,"Personal Expense, Name Witheld",47363,6.70,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,Additions - Venture Capital Fund,Shareholder Executive - ED SME Finance Policy,BERR EQUITY INVESTMENT PROGRAMMES (CAPITAL),47404,97500.00,ECF: Enterprise Capital Fund-Additions - Venture Capital Fund,SW1H 0ET,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,47430,3597.00,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,47433,27403.68,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,Finance & Commercial Group - Modernisation Fund and Shared Services,CAPITA RESOURCING LTD,47438,3803.66,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2014,HR Training Educat Consultcy,Enterprise & Skills Group - Vocational Education Directorate,ABILITYNET,47449,-400.00,E&S Devolved Admin-HR Training Educat Consultcy,RG6 1WG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Consultancy Expenditure,People & Strategy - Communications Directorate,CAPITA RESOURCING LTD,47474,1707.78,P&S Devolved Admin-Consultancy Expenditure,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - Estates,EC HARRIS LLP,47530,-32146.19,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Clearing Account - Cost - Leasehold Improvements,Finance & Commercial Group - Estates,EC HARRIS LLP,47530,70720.41,BIS Infrastructure Maintenanc-Clearing Account - Cost - Leasehold Improvements,M60 3NT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,COMPANIES HOUSE,47566,616.08,F&C Devolved Admin-Central Telecommunications Services,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,BROOK STREET (UK) LTD,47568,228.91,F&C Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,COMPANIES HOUSE,47570,566.94,F&C Devolved Admin-Central Telecommunications Services,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,STUDENT LOANS CO LTD (INVEST TO SAVE),47626,91930.53,K&I Devolved Admin-Current Grants To Private Sector - NPISH,G2 7JD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - DISABLED - AVAILABLE FOR FUTURE USE,STUDENT LOANS CO LTD (INVEST TO SAVE),47626,14520505.25,K&I Devolved Admin-Current Grants To Private Sector - NPISH,G2 7JD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,ADECCO UK LTD,47636,661.93,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,Shareholder Executive - Business Portfolio,ADECCO UK LTD,47643,625.69,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,Shareholder Executive - Business Portfolio,ADECCO UK LTD,47644,983.14,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Hire of Agency Staff,Shareholder Executive - Business Portfolio,ADECCO UK LTD,47646,483.76,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",17/07/2014,Hire of Agency Staff,Shareholder Executive - Business Portfolio,ADECCO UK LTD,47665,689.60,ShEx Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/07/2014,PR & Marketing Advice & Services,Business & Local Growth - Europen Reform,ALISON JONES,47699,4000.00,BLG Devolved Admin-PR & Marketing Advice & Services,W6 0TB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",01/07/2014,Grant-In-Aid to Arms Length Bodies,Economics & Markets - Labour Market,ACAS,47700,3600000.00,ACAS Non-Budget-Grant-In-Aid to Arms Length Bodies,NW1 3JJ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Recruitment Advice and Services,Ministerial and Parliamentary Support -  Ministerial and Parliamentary Support Team,CAPITA RESOURCING LTD,47731,4000.00,MPST Devolved Admin-Recruitment Advice and Services,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Central Telecommunications Services,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,47739,26411.61,F&C Devolved Admin-Central Telecommunications Services,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Consultancy Expenditure,Finance & Commercial Group - Information and Technology Directorate,VODAFONE LTD,47739,900.00,F&C Devolved Admin-Consultancy Expenditure,RG14 1LA,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Learning and Dev - CS Skills,Economics & Markets - International Trade & Export Control,OECD ORGANISATION FOR ECONOMIC CO-OPERATION AND DEVELOPMENT,47795,286.04,E&M Devolved Admin-Learning and Dev - CS Skills,75775,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",28/07/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,BROOK STREET (UK) LTD,47911,757.15,F&C Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",21/07/2014,Hire of Agency Staff,People & Strategy - Communications Directorate,BROOK STREET (UK) LTD,47916,480.48,P&S Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/07/2014,Hire of Agency Staff,Shareholder Executive - ED SME Finance Policy,CAPITA BUSINESS SERVICES LTD,47924,-2612.30,Central Functions-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/07/2014,Hire of Agency Staff,Shareholder Executive - ED SME Finance Policy,CAPITA BUSINESS SERVICES LTD,47924,5747.06,Central Functions-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",16/07/2014,Hire of Agency Staff,Finance & Commercial Group - Finance Group,CAPITA BUSINESS SERVICES LTD,47934,2206.35,F&C Devolved Admin-Hire of Agency Staff,DL1 9HN,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Current Grants To Private Sector - NPISH,Business & Local Growth - Advanced Manufacturing Services,CONSTRUCTION INDUSTRY COUNCIL,47962,-750000.00,R&C: Building Information Management-Current Grants To Private Sector - NPISH,WC1E 7BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",09/07/2014,Current Grants To Private Sector - NPISH,Business & Local Growth - Advanced Manufacturing Services,CONSTRUCTION INDUSTRY COUNCIL,47962,1000000.00,R&C: Building Information Management-Current Grants To Private Sector - NPISH,WC1E 7BT,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",11/07/2014,Stationery,People & Strategy - Human Resources,BANNER BUSINESS SERVICES LTD,48003,318.72,P&S Devolved Admin-Stationery,NR3 1QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/07/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,ADECCO UK LTD,48095,358.40,E&M Non Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",15/07/2014,Hire of Agency Staff,Finance & Commercial Group - Information and Technology Directorate,ADECCO UK LTD,48095,818.24,F&C Devolved Admin-Hire of Agency Staff,B37 7YE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2014,Purchase of Intangible Software,Finance & Commercial Group - Information and Technology Directorate,SIGHT AND SOUND TECHNOLOGY LTD,48113,4961.94,F&C Devolved Admin-Purchase of Intangible Software,NN3 6WD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",14/07/2014,Purchase of Intangible Software,Finance & Commercial Group - Information and Technology Directorate,SIGHT AND SOUND TECHNOLOGY LTD,48113,5949.95,F&C Devolved Admin-Purchase of Intangible Software,NN3 6WD,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",03/07/2014,Hire of Conference Facilities,Knowledge & Innovation Group - International Knowledge and Innovation,DITCHLEY PARK CONFERENCE CENTRE LTD,48117,-2500.00,U.S. - International Scholarships - Fulbright and Others-Hire of Conference Facilities,OX7 4ER,VENDOR,,,
